1,w,sub_t,h,l1,l2,l3,g1,g2,Freq,S11_re,S21_re,S11_img,S21_img,S11_dB,S21_dB
11.185,2.0,1.0,1.0,34.7,33.2,33.2,3.4,3.8,2.5,0.666060410949405,-0.010148884908813,0.735447663251791,0.00307363828535748,-0.067756,-39.490517
11.185,2.0,1.0,1.0,34.7,33.2,33.2,3.4,3.8,2.5025,0.6598648518711819,-0.010305817658311893,0.7409061196388597,0.003018675810263472,-0.068445,-39.380868
11.185,2.0,1.0,1.0,34.7,33.2,33.2,3.4,3.8,2.505,0.6535907202967343,-0.010464607522923474,0.7463403535348803,0.0029612499212762614,-0.069145,-39.270997
11.185,2.0,1.0,1.0,34.7,33.2,33.2,3.4,3.8,2.5075,0.6472373229269471,-0.010625265458048741,0.7517494877122931,0.002901292495121481,-0.069857,-39.160899
11.185,2.0,1.0,1.0,34.7,33.2,33.2,3.4,3.8,2.51,0.640803962718208,-0.01078780192205863,0.7571326220306838,0.0028387336006396005,-0.070581,-39.050572
11.185,2.0,1.0,1.0,34.7,33.2,33.2,3.4,3.8,2.5125,0.6342899391054512,-0.010952226838998321,0.762488832862005,0.0027735014522314613,-0.071316,-38.94001
11.185,2.0,1.0,1.0,34.7,33.2,33.2,3.4,3.8,2.515,0.6276945482404108,-0.011118549559409921,0.7678171725036981,0.0027055223622840063,-0.072064,-38.82921
11.185,2.0,1.0,1.0,34.7,33.2,33.2,3.4,3.8,2.5175,0.6210170832458025,-0.011286778819190336,0.7731166685795939,0.0026347206925676154,-0.072823,-38.718169
11.185,2.0,1.0,1.0,34.7,33.2,33.2,3.4,3.8,2.52,0.614256834486143,-0.0114569226963974,0.7783863234285194,0.0025610188045968782,-0.073596,-38.606881
11.185,2.0,1.0,1.0,34.7,33.2,33.2,3.4,3.8,2.5225,0.6074130898559968,-0.01162898856591264,0.7836251134805019,0.0024843370089496462,-0.074381,-38.495343
11.185,2.0,1.0,1.0,34.7,33.2,33.2,3.4,3.8,2.525,0.6004851350864076,-0.011802983051867192,0.7888319886205247,0.002404593513538366,-0.075179,-38.383551
