1,w,sub_t,h,l1,l2,l3,g1,g2,Freq,S11_re,S21_re,S11_img,S21_img,S11_dB,S21_dB
11.185,2.0,1.0,1.0,34.4,33.2,33.2,3.0,3.4,2.5,0.71961163155363,-0.0105362536002308,0.683291672441665,0.00473143104779577,-0.066835,-38.748472
11.185,2.0,1.0,1.0,34.4,33.2,33.2,3.0,3.4,2.5025,0.7141501965065103,-0.01071395242872616,0.6888872780722484,0.004699385203789335,-0.067507,-38.636822
11.185,2.0,1.0,1.0,34.4,33.2,33.2,3.0,3.4,2.505,0.7086165513283528,-0.010894142752255774,0.694466709689854,0.004665129466746855,-0.068189,-38.524913
11.185,2.0,1.0,1.0,34.4,33.2,33.2,3.0,3.4,2.5075,0.7030100135290204,-0.011076854276166937,0.7000292917544675,0.004628595633572362,-0.068884,-38.412739
11.185,2.0,1.0,1.0,34.4,33.2,33.2,3.0,3.4,2.51,0.697329894149147,-0.011262116794029437,0.7055743302254248,0.0045897134657121984,-0.06959,-38.300296
11.185,2.0,1.0,1.0,34.4,33.2,33.2,3.0,3.4,2.5125,0.6915754978358123,-0.011449960168327335,0.7111011120554537,0.004548410626243469,-0.070307,-38.187579
11.185,2.0,1.0,1.0,34.4,33.2,33.2,3.0,3.4,2.515,0.6857461229273997,-0.011640414309751955,0.7166089046718757,0.004504612614999351,-0.071037,-38.074582
11.185,2.0,1.0,1.0,34.4,33.2,33.2,3.0,3.4,2.5175,0.6798410615481479,-0.011833509155016313,0.7220969554446777,0.004458242701671888,-0.07178,-37.961302
11.185,2.0,1.0,1.0,34.4,33.2,33.2,3.0,3.4,2.52,0.6738595997128982,-0.012029274643110916,0.7275644911412152,0.004409221856831666,-0.072535,-37.847732
11.185,2.0,1.0,1.0,34.4,33.2,33.2,3.0,3.4,2.5225,0.6678010174426056,-0.012227740689913247,0.733010717367247,0.004357468680801457,-0.073303,-37.733868
11.185,2.0,1.0,1.0,34.4,33.2,33.2,3.0,3.4,2.525,0.6616645888911598,-0.012428937161061257,0.7384348179940602,0.004302899330320173,-0.074085,-37.619704
11.185,2.0,1.0,1.0,34.4,33.2,33.2,3.0,3.4,2.5275,0.6554495824841182,-0.012632893842995792,0.7438359545714086,0.004245427442930913,-0.07488,-37.505236
11.185,2.0,1.0,1.0,34.4,33.2,33.2,3.0,3.4,2.53,0.6491552610699781,-0.012839640412071179,0.7492132657259921,0.004184964059026113,-0.075688,-37.390459
11.185,2.0,1.0,1.0,34.4,33.2,33.2,3.0,3.4,2.5325,0.6427808820846235,-0.013049206401629373,0.7545658665452197,0.004121417541480402,-0.076511,-37.275367
11.185,2.0,1.0,1.0,34.4,33.2,33.2,3.0,3.4,2.535,0.6363256977296315,-0.013261621166926712,0.7598928479459968,0.004054693492800253,-0.077348,-37.159956
11.185,2.0,1.0,1.0,34.4,33.2,33.2,3.0,3.4,2.5375,0.6297889551651454,-0.013476913847797154,0.7651932760282617,0.003984694669718304,-0.0782,-37.044219
11.185,2.0,1.0,1.0,34.4,33.2,33.2,3.0,3.4,2.54,0.6231698967180463,-0.013695113328929679,0.7704661914130317,0.003911320895157489,-0.079067,-36.928152
11.185,2.0,1.0,1.0,34.4,33.2,33.2,3.0,3.4,2.5425,0.6164677601061962,-0.013916248197631495,0.7757106085646982,0.0038344689674892334,-0.079949,-36.81175
11.185,2.0,1.0,1.0,34.4,33.2,33.2,3.0,3.4,2.545,0.6096817786795514,-0.014140346698942197,0.7809255150973237,0.003754032567007733,-0.080847,-36.695007
11.185,2.0,1.0,1.0,34.4,33.2,33.2,3.0,3.4,2.5475,0.6028111816789976,-0.014367436687956477,0.7861098710647011,0.003669902159540801,-0.081761,-36.577917
11.185,2.0,1.0,1.0,34.4,33.2,33.2,3.0,3.4,2.55,0.5958551945137509,-0.01459754557920709,0.7912626082339458,0.0035819648971155303,-0.082691,-36.460476
11.185,2.0,1.0,1.0,34.4,33.2,33.2,3.0,3.4,2.5525,0.588813039058274,-0.014830700292950428,0.7963826293423806,0.0034901045155959773,-0.083637,-36.342678
11.185,2.0,1.0,1.0,34.4,33.2,33.2,3.0,3.4,2.555,0.5816839339696237,-0.015066927198191133,0.8014688073375119,0.003394201229207286,-0.084601,-36.224517
11.185,2.0,1.0,1.0,34.4,33.2,33.2,3.0,3.4,2.5575,0.57446709502623,-0.015306252052271941,0.8065199845998873,0.0032941316218597395,-0.085582,-36.105988
11.185,2.0,1.0,1.0,34.4,33.2,33.2,3.0,3.4,2.56,0.5671617354891444,-0.015548699936847637,0.8115349721486287,0.0031897685351838403,-0.086581,-35.987086
11.185,2.0,1.0,1.0,34.4,33.2,33.2,3.0,3.4,2.5625,0.5597670664868187,-0.015794295190051436,0.8165125488294707,0.003080980953185846,-0.087598,-35.867804
11.185,2.0,1.0,1.0,34.4,33.2,33.2,3.0,3.4,2.565,0.5522822974245348,-0.016043061334654326,0.821451460485136,0.002967633883431623,-0.088633,-35.748137
11.185,2.0,1.0,1.0,34.4,33.2,33.2,3.0,3.4,2.5675,0.5447066364196544,-0.016295021002005212,0.8263504191078828,0.0028495882346643484,-0.089688,-35.628079
11.185,2.0,1.0,1.0,34.4,33.2,33.2,3.0,3.4,2.57,0.5370392907638906,-0.016550195851531835,0.8312081019741083,0.002726700690760503,-0.090762,-35.507625
11.185,2.0,1.0,1.0,34.4,33.2,33.2,3.0,3.4,2.5725,0.5292794674138614,-0.016808606485568936,0.8360231507608781,0.0025988235809258193,-0.091856,-35.386769
11.185,2.0,1.0,1.0,34.4,33.2,33.2,3.0,3.4,2.575,0.5214263735112362,-0.01707027235927002,0.8407941706443006,0.0024658047460323265,-0.09297,-35.265504
11.185,2.0,1.0,1.0,34.4,33.2,33.2,3.0,3.4,2.5775,0.5134792169338361,-0.017335211685345485,0.8455197293796607,0.002327487400994523,-0.094105,-35.143825
11.185,2.0,1.0,1.0,34.4,33.2,33.2,3.0,3.4,2.58,0.5054372068791023,-0.017603441333358012,0.8501983563632848,0.002183709993082301,-0.095262,-35.021726
11.185,2.0,1.0,1.0,34.4,33.2,33.2,3.0,3.4,2.5825,0.49729955448139895,-0.01787497672329183,0.8548285416761032,0.0020343060560653083,-0.09644,-34.899201
11.185,2.0,1.0,1.0,34.4,33.2,33.2,3.0,3.4,2.585,0.4890654734646846,-0.018149831713098346,0.85940873510893,0.0018791040600825868,-0.09764,-34.776243
11.185,2.0,1.0,1.0,34.4,33.2,33.2,3.0,3.4,2.5875,0.48073418083212116,-0.018428018479906046,0.8639373451695133,0.001717927257129291,-0.098863,-34.652847
11.185,2.0,1.0,1.0,34.4,33.2,33.2,3.0,3.4,2.59,0.4723048975942887,-0.018709547394565935,0.8684127380714108,0.0015505935220506853,-0.100109,-34.529006
11.185,2.0,1.0,1.0,34.4,33.2,33.2,3.0,3.4,2.5925,0.46377684953768356,-0.018994426889187906,0.87283323670484,0.0013769151889319632,-0.10138,-34.404714
11.185,2.0,1.0,1.0,34.4,33.2,33.2,3.0,3.4,2.595,0.4551492680353035,-0.019282663317306107,0.8771971195896298,0.0011966988827711218,-0.102674,-34.279965
11.185,2.0,1.0,1.0,34.4,33.2,33.2,3.0,3.4,2.5975,0.44642139090112104,-0.01957426080629227,0.8815026198105013,0.0010097453463200844,-0.103994,-34.154751
11.185,2.0,1.0,1.0,34.4,33.2,33.2,3.0,3.4,2.6,0.4375924632903654,-0.019869221101618015,0.8857479239349155,0.0008158492619779116,-0.105339,-34.029067
11.185,2.0,1.0,1.0,34.4,33.2,33.2,3.0,3.4,2.6025,0.42866173864758567,-0.020167543402545077,0.8899311709137826,0.0006147990686189117,-0.106711,-33.902906
