1,w,sub_t,h,l1,l2,l3,g1,g2,Freq,S11_re,S21_re,S11_img,S21_img,S11_dB,S21_dB
11.185,2.0,1.0,1.0,34.1,34.0,34.0,1.5,2.3,2.5,0.7503809080863,-0.0221556052338741,0.646317823227432,0.0162661446381627,-0.084203,-31.217895
11.185,2.0,1.0,1.0,34.1,34.0,34.0,1.5,2.3,2.5025,0.7450256389371769,-0.022630693270877834,0.6522921137267476,0.016317466453762034,-0.085311,-31.087927
11.185,2.0,1.0,1.0,34.1,34.0,34.0,1.5,2.3,2.505,0.7395898469376985,-0.023115709277436357,0.6582551194302033,0.01636545477993258,-0.086441,-30.957368
11.185,2.0,1.0,1.0,34.1,34.0,34.0,1.5,2.3,2.5075,0.7340725483591194,-0.023610883303246795,0.6642061377344988,0.016409934310073992,-0.087596,-30.826207
11.185,2.0,1.0,1.0,34.1,34.0,34.0,1.5,2.3,2.51,0.7284727431305308,-0.02411645149896438,0.6701444420164822,0.016450721846050016,-0.088776,-30.694434
11.185,2.0,1.0,1.0,34.1,34.0,34.0,1.5,2.3,2.5125,0.7227894145927832,-0.024632656289626877,0.6760692807568155,0.016487625919519234,-0.089981,-30.562041
11.185,2.0,1.0,1.0,34.1,34.0,34.0,1.5,2.3,2.515,0.7170215292518534,-0.025159746552565865,0.6819798766285465,0.01652044639334418,-0.091213,-30.429015
11.185,2.0,1.0,1.0,34.1,34.0,34.0,1.5,2.3,2.5175,0.7111680365319686,-0.025697977799841728,0.6878754255489482,0.016548974041924472,-0.092472,-30.295348
11.185,2.0,1.0,1.0,34.1,34.0,34.0,1.5,2.3,2.52,0.705227868528806,-0.026247612365226304,0.6937550956929627,0.016572990109228674,-0.093759,-30.161027
11.185,2.0,1.0,1.0,34.1,34.0,34.0,1.5,2.3,2.5225,0.6991999397631561,-0.026808919595744864,0.6996180264664235,0.0165922658432201,-0.095076,-30.026042
11.185,2.0,1.0,1.0,34.1,34.0,34.0,1.5,2.3,2.525,0.6930831469354295,-0.027382176047777068,0.7054633274372069,0.016606562005288678,-0.096422,-29.890383
11.185,2.0,1.0,1.0,34.1,34.0,34.0,1.5,2.3,2.5275,0.6868763686814585,-0.027967665687697187,0.7112900772223066,0.016615628353210288,-0.097799,-29.754037
11.185,2.0,1.0,1.0,34.1,34.0,34.0,1.5,2.3,2.53,0.6805784653300845,-0.028565680097017227,0.7170973223287411,0.01661920309605967,-0.099207,-29.616994
11.185,2.0,1.0,1.0,34.1,34.0,34.0,1.5,2.3,2.5325,0.6741882786630505,-0.02917651868197384,0.7228840759460745,0.016617012319399355,-0.100649,-29.479241
11.185,2.0,1.0,1.0,34.1,34.0,34.0,1.5,2.3,2.535,0.6677046316777874,-0.029800488887478133,0.7286493166882293,0.016608769378958443,-0.102124,-29.340767
11.185,2.0,1.0,1.0,34.1,34.0,34.0,1.5,2.3,2.5375,0.6611263283537392,-0.030437906415317028,0.7343919872821021,0.01659417426089345,-0.103635,-29.20156
11.185,2.0,1.0,1.0,34.1,34.0,34.0,1.5,2.3,2.54,0.6544521534229134,-0.03108909544646603,0.740110993200391,0.016572912906601296,-0.105182,-29.061606
11.185,2.0,1.0,1.0,34.1,34.0,34.0,1.5,2.3,2.5425,0.6476808721454314,-0.031754388867338,0.745805201235864,0.01654465649991378,-0.106766,-28.920893
11.185,2.0,1.0,1.0,34.1,34.0,34.0,1.5,2.3,2.545,0.640811230090912,-0.032434128499752704,0.7514734380141611,0.016509060714360868,-0.108389,-28.779409
11.185,2.0,1.0,1.0,34.1,34.0,34.0,1.5,2.3,2.5475,0.6338419529266186,-0.03312866533436589,0.7571144884420212,0.016465764918031006,-0.110052,-28.63714
11.185,2.0,1.0,1.0,34.1,34.0,34.0,1.5,2.3,2.55,0.6267717462133469,-0.03383835976725023,0.7627270940876894,0.016414391333389487,-0.111756,-28.494072
11.185,2.0,1.0,1.0,34.1,34.0,34.0,1.5,2.3,2.5525,0.6195992952101926,-0.03456358183925945,0.7683099514900094,0.016354544149235192,-0.113503,-28.350193
11.185,2.0,1.0,1.0,34.1,34.0,34.0,1.5,2.3,2.555,0.6123232646893683,-0.035304711477747074,0.7738617103925461,0.016285808581780893,-0.115295,-28.205487
11.185,2.0,1.0,1.0,34.1,34.0,34.0,1.5,2.3,2.5575,0.6049422987624002,-0.03606213874013801,0.7793809718988381,0.016207749881635786,-0.117132,-28.059941
11.185,2.0,1.0,1.0,34.1,34.0,34.0,1.5,2.3,2.56,0.5974550207191548,-0.03683626405877175,0.7848662865446356,0.016119912283240525,-0.119016,-27.913539
11.185,2.0,1.0,1.0,34.1,34.0,34.0,1.5,2.3,2.5625,0.5898600328812651,-0.037627498486344224,0.7903161522827431,0.01602181789306759,-0.12095,-27.766268
