1,w,sub_t,h,l1,l2,l3,g1,g2,Freq,S11_re,S21_re,S11_img,S21_img,S11_dB,S21_dB
11.185,2.0,1.0,1.0,34.5,34.4,34.4,1.6,4.3,2.5,0.682708640948125,-0.0185074277452222,0.716163505492499,0.0080206239419927,-0.092256,-33.9056
11.185,2.0,1.0,1.0,34.5,34.4,34.4,1.6,4.3,2.5025,0.676258567975514,-0.018883110386544652,0.7220616429922193,0.007971687912652176,-0.09351,-33.76627
11.185,2.0,1.0,1.0,34.5,34.4,34.4,1.6,4.3,2.505,0.6697142228215583,-0.019266427767021973,0.727937233039843,0.007918025221716437,-0.094792,-33.6262
11.185,2.0,1.0,1.0,34.5,34.4,34.4,1.6,4.3,2.5075,0.663074466395289,-0.01965755940356341,0.7337891949784564,0.007859430931263815,-0.096104,-33.485376
11.185,2.0,1.0,1.0,34.5,34.4,34.4,1.6,4.3,2.51,0.6563381430724547,-0.020056689844306797,0.7396164122621558,0.007795690928380079,-0.097446,-33.343781
11.185,2.0,1.0,1.0,34.5,34.4,34.4,1.6,4.3,2.5125,0.6495040805412171,-0.020464008829927646,0.7454177311676015,0.007726581460446457,-0.098818,-33.201401
11.185,2.0,1.0,1.0,34.5,34.4,34.4,1.6,4.3,2.515,0.6425710896525594,-0.020879711460565588,0.7511919594530743,0.007651868643349168,-0.100223,-33.058219
11.185,2.0,1.0,1.0,34.5,34.4,34.4,1.6,4.3,2.5175,0.6355379642759432,-0.02130399836855224,0.7569378649624229,0.007571307940789295,-0.101661,-32.914219
11.185,2.0,1.0,1.0,34.5,34.4,34.4,1.6,4.3,2.52,0.6284034811607395,-0.021737075897128394,0.7626541741711753,0.0074846436127304185,-0.103134,-32.769383
11.185,2.0,1.0,1.0,34.5,34.4,34.4,1.6,4.3,2.5225,0.6211663998040241,-0.02217915628533692,0.76833957067182,0.007391608130870169,-0.104641,-32.623694
11.185,2.0,1.0,1.0,34.5,34.4,34.4,1.6,4.3,2.525,0.6138254623253424,-0.02263045785928039,0.7739926935951735,0.007291921558853595,-0.106185,-32.477135
11.185,2.0,1.0,1.0,34.5,34.4,34.4,1.6,4.3,2.5275,0.6063793933491187,-0.023091205229929496,0.7796121359644792,0.007185290894765861,-0.107767,-32.329688
11.185,2.0,1.0,1.0,34.5,34.4,34.4,1.6,4.3,2.53,0.5988268998954196,-0.02356162949766574,0.7851964429786773,0.007071409373244701,-0.109388,-32.181332
11.185,2.0,1.0,1.0,34.5,34.4,34.4,1.6,4.3,2.5325,0.5911666712798359,-0.024041968463737858,0.7907441102210592,0.006949955724335964,-0.111048,-32.03205
11.185,2.0,1.0,1.0,34.5,34.4,34.4,1.6,4.3,2.535,0.5833973790232879,-0.024532466848805102,0.7962535817892258,0.00682059338598159,-0.112751,-31.881822
11.185,2.0,1.0,1.0,34.5,34.4,34.4,1.6,4.3,2.5375,0.5755176767726573,-0.025033376518729774,0.8017232483420208,0.006682969666770842,-0.114496,-31.730626
11.185,2.0,1.0,1.0,34.5,34.4,34.4,1.6,4.3,2.54,0.5675262002331728,-0.025544956717771673,0.8071514450587763,0.006536714855304976,-0.116286,-31.578444
11.185,2.0,1.0,1.0,34.5,34.4,34.4,1.6,4.3,2.5425,0.5594215671135704,-0.026067474309320042,0.8125364495058757,0.006381441272216868,-0.118122,-31.425252
11.185,2.0,1.0,1.0,34.5,34.4,34.4,1.6,4.3,2.545,0.551202377085128,-0.02660120402427912,0.8178764794052853,0.006216742260549221,-0.120005,-31.271029
